Tipo,Experimento,N,Accuracy,Macro F1,MCC,ROC-AUC,PR-AUC,F1 (Fake),F1 (Real),ECE,Brier
In-Domain,Train+Test: kaggle_fakenews,8808,0.9883,0.9883,0.9766,0.9993,0.9992,0.9886,0.9880,0.0048,0.0089
In-Domain,Train+Test: liar,2279,0.6213,0.6172,0.2356,0.6716,0.7155,0.5776,0.6569,0.0236,0.2238
In-Domain,Train+Test: gossipcop,3993,0.8527,0.7980,0.5960,0.8840,0.9520,0.6928,0.9032,0.0142,0.1005
In-Domain,Train+Test: politifact,433,0.8406,0.7590,0.5322,0.8894,0.6495,0.8993,0.6188,0.0542,0.0974
Cross-Domain,kaggle→liar,11387,0.4510,0.3658,0.0369,0.5541,0.6050,0.5983,0.1334,0.4703,0.4778
Cross-Domain,kaggle→gossipcop,19955,0.2446,0.2024,0.0119,0.5584,0.7880,0.3859,0.0189,0.7444,0.7414
Cross-Domain,kaggle→politifact,2156,0.7885,0.4947,0.0209,0.5577,0.2010,0.8800,0.1094,0.1576,0.1800
Cross-Domain,gossipcop→kaggle,44031,0.5688,0.5665,0.1443,0.6045,0.5754,0.5356,0.5975,0.1897,0.2870
Cross-Domain,gossipcop→liar,11387,0.5647,0.4100,0.0225,0.5286,0.5881,0.1080,0.7121,0.2711,0.3217
Cross-Domain,gossipcop→politifact,2156,0.2718,0.2709,0.0283,0.4900,0.1623,0.2452,0.2966,0.6317,0.5618
Cross-Domain,liar→gossipcop,19955,0.4624,0.4418,-0.0040,0.5043,0.7711,0.3344,0.5492,0.2210,0.2404
Cross-Domain,liar→kaggle,44031,0.5981,0.5975,0.1952,0.6361,0.6022,0.6136,0.5814,0.0622,0.2397
LODO,LODO (test=kaggle_fakenews),44031,0.5574,0.5563,0.1193,0.5808,0.5523,0.5342,0.5784,0.1786,0.2831
LODO,LODO (test=liar),11387,0.5027,0.4898,0.0744,0.5639,0.6158,0.5708,0.4088,0.2715,0.3359
LODO,LODO (test=gossipcop),19955,0.2469,0.2089,-0.0205,0.5528,0.7860,0.3823,0.0356,0.7039,0.6843
LODO,LODO (test=politifact),2156,0.5325,0.4578,0.0083,0.5357,0.2012,0.6590,0.2566,0.3342,0.3077
